time,ene-0,ene-1,d00-re,d00-im,d01-re,d01-im,d10-re,d10-im,d11-re,d11-im
1,-0.9677,1.2938,0.0,0.0,-0.018608597018680458,0.0042019902709142755,0.018608597018680458,0.0042019902709142755,0.0,0.0
2,-0.9246,1.3506,0.0,0.0,-0.018608597018680458,0.0042019902709142755,0.018608597018680458,0.0042019902709142755,0.0,0.0
3,-0.9256,1.3515,0.0,0.0,-0.004744672650251386,0.0005521929943837235,0.004744672650251386,0.0005521929943837235,0.0,0.0
4,-0.8425,1.4259,0.0,0.0,-0.010509989260297482,-0.012860600059038739,0.010509989260297482,-0.012860600059038739,0.0,0.0
5,-0.8965,1.3531,0.0,0.0,0.004972562787151068,-0.0011094299571308267,-0.004972562787151068,-0.0011094299571308267,0.0,0.0
6,-0.8185,1.4065,0.0,0.0,0.0004472116046519366,-0.0029686488500131948,-0.0004472116046519366,-0.0029686488500131948,0.0,0.0
7,-0.8155,1.3847,0.0,0.0,-0.0007161219661935617,0.005344783344087216,0.0007161219661935617,0.005344783344087216,0.0,0.0
8,-0.8126,1.3648,0.0,0.0,-0.01346526855561256,-0.005307713215151534,0.01346526855561256,-0.005307713215151534,0.0,0.0
9,-0.7325,1.4259,0.0,0.0,0.0036413805341410574,0.008946359067649795,-0.0036413805341410574,0.008946359067649795,0.0,0.0
10,-0.7273,1.4173,0.0,0.0,-0.0028959063183148165,-0.006521911864553042,0.0028959063183148165,-0.006521911864553042,0.0,0.0
11,-0.7153,1.4222,0.0,0.0,-0.00795518889889411,-0.0048072664745198316,0.00795518889889411,-0.0048072664745198316,0.0,0.0
12,-0.6952,1.4403,0.0,0.0,0.0012708065594073884,-0.006999873445010642,-0.0012708065594073884,-0.006999873445010642,0.0,0.0
13,-0.7551,1.3852,0.0,0.0,2.5532203231208672e-05,-0.001581010613755236,-2.5532203231208672e-05,-0.001581010613755236,0.0,0.0
14,-0.6706,1.4783,0.0,0.0,-0.0012922586176275451,0.0005040018267673374,0.0012922586176275451,0.0005040018267673374,0.0,0.0
15,-0.6625,1.5003,0.0,0.0,0.0016849589015330779,0.0022396738800984912,-0.0016849589015330779,0.0022396738800984912,0.0,0.0
16,-0.6505,1.5211,0.0,0.0,0.00920949621238996,-8.132031645128263e-05,-0.00920949621238996,-8.132031645128263e-05,0.0,0.0
17,-0.6305,1.5093,0.0,0.0,-0.00950484182981195,0.0012636052310813584,0.00950484182981195,0.0012636052310813584,0.0,0.0
18,-0.617,1.4862,0.0,0.0,0.010322815494523876,-0.0010596283658803494,-0.010322815494523876,-0.0010596283658803494,0.0,0.0
19,-0.608,1.4573,0.0,0.0,0.008595104403308417,0.00994147933211174,-0.008595104403308417,0.00994147933211174,0.0,0.0
20,-0.6,1.428,0.0,0.0,-0.01258318179905286,0.006286729243272569,0.01258318179905286,0.006286729243272569,0.0,0.0
21,-0.5988,1.3939,0.0,0.0,-0.0031649382212627876,0.007843370805055332,0.0031649382212627876,0.007843370805055332,0.0,0.0
22,-0.5157,1.4451,0.0,0.0,-0.0010088544433791001,-0.0012028345279081099,0.0010088544433791001,-0.0012028345279081099,0.0,0.0
23,-0.5082,1.4263,0.0,0.0,0.01185271794691041,0.00021633762622644777,-0.01185271794691041,0.00021633762622644777,0.0,0.0
24,-0.506,1.4075,0.0,0.0,-0.0007603022674005134,-0.0003730713467805732,0.0007603022674005134,-0.0003730713467805732,0.0,0.0
25,-0.5107,1.3884,0.0,0.0,-0.0063368650733905,0.00013465876262644296,0.0063368650733905,0.00013465876262644296,0.0,0.0
26,-0.511,1.3787,0.0,0.0,-0.0004577553216524952,0.00015654836990944707,0.0004577553216524952,0.00015654836990944707,0.0,0.0
27,-0.5209,1.3641,0.0,0.0,-0.000895729779422098,1.2948717578639948e-05,0.000895729779422098,1.2948717578639948e-05,0.0,0.0
28,-0.5283,1.3559,0.0,0.0,0.0050020365781900935,2.0394647984942235e-05,-0.0050020365781900935,2.0394647984942235e-05,0.0,0.0
29,-0.5448,1.3437,0.0,0.0,-0.009138090636161394,7.151800202943763e-05,0.009138090636161394,7.151800202943763e-05,0.0,0.0
30,-0.5581,1.3395,0.0,0.0,-0.013030150320892102,0.00010450433971187698,0.013030150320892102,0.00010450433971187698,0.0,0.0
31,-0.5644,1.3485,0.0,0.0,-0.01592830515522433,-7.94060393013253e-05,0.01592830515522433,-7.94060393013253e-05,0.0,0.0
32,-0.6412,1.2922,0.0,0.0,0.01958639763273803,0.00011645793702605499,-0.01958639763273803,0.00011645793702605499,0.0,0.0
33,-0.6357,1.327,0.0,0.0,0.0005146974705258292,-0.00025296109049380603,-0.0005146974705258292,-0.00025296109049380603,0.0,0.0
34,-0.7203,1.2789,0.0,0.0,-0.0005221114963129655,-0.0008766477786256979,0.0005221114963129655,-0.0008766477786256979,0.0,0.0
35,-0.7512,1.2948,0.0,0.0,0.02829271242285349,8.581430995094437e-05,-0.02829271242285349,8.581430995094437e-05,0.0,0.0
36,-0.7901,1.3086,0.0,0.0,0.03186511820889291,-0.0017789407939905067,-0.03186511820889291,-0.0017789407939905067,0.0,0.0
37,-0.8968,1.2589,0.0,0.0,0.03576963588777413,-0.002016432701991562,-0.03576963588777413,-0.002016432701991562,0.0,0.0
38,-0.9898,1.1962,0.0,0.0,0.006493045780545749,0.00531044789679433,-0.006493045780545749,0.00531044789679433,0.0,0.0
39,-0.9851,1.1886,0.0,0.0,0.0015394738381363205,-0.003054943248519208,-0.0015394738381363205,-0.003054943248519208,0.0,0.0
40,-1.056,1.1042,0.0,0.0,-0.00042545569291591354,-1.3727190286289262e-06,0.00042545569291591354,-1.3727190286289262e-06,0.0,0.0
41,-1.1225,1.0286,0.0,0.0,0.00030819862114313034,-0.002507946149256797,-0.00030819862114313034,-0.002507946149256797,0.0,0.0
42,-1.194,0.9531,0.0,0.0,-0.0005770482119815823,-0.0011701095042493154,0.0005770482119815823,-0.0011701095042493154,0.0,0.0
43,-1.2691,0.8778,0.0,0.0,0.0004287069255356823,-0.003808803821383357,-0.0004287069255356823,-0.003808803821383357,0.0,0.0
44,-1.2604,0.8855,0.0,0.0,2.3998654536631743e-06,0.0013939583893879768,-2.3998654536631743e-06,0.0013939583893879768,0.0,0.0
45,-1.3366,0.7961,0.0,0.0,-0.0034183520534952342,0.0010833289401179164,0.0034183520534952342,0.0010833289401179164,0.0,0.0
46,-1.3388,0.7718,0.0,0.0,-0.00016351876956341872,0.002067996643634064,0.00016351876956341872,0.002067996643634064,0.0,0.0
47,-1.3405,0.7487,0.0,0.0,2.0440833719353904e-05,-0.00039546535089991536,-2.0440833719353904e-05,-0.00039546535089991536,0.0,0.0
48,-1.3954,0.6751,0.0,0.0,0.0004427449579687028,0.0012647294890900636,-0.0004427449579687028,0.0012647294890900636,0.0,0.0
49,-1.3868,0.6746,0.0,0.0,-0.00143470514586564,0.000985427337305813,0.00143470514586564,0.000985427337305813,0.0,0.0
50,-1.386,0.6722,0.0,0.0,-0.0015376811023927097,0.000930429850934023,0.0015376811023927097,0.000930429850934023,0.0,0.0
51,-1.3865,0.6789,0.0,0.0,0.001399518908728329,-0.001014536504125799,-0.001399518908728329,-0.001014536504125799,0.0,0.0
52,-1.3863,0.6952,0.0,0.0,-0.0011964536040749187,-0.0007932096031688275,0.0011964536040749187,-0.0007932096031688275,0.0,0.0
53,-1.3896,0.7112,0.0,0.0,-0.0008010794092297633,0.0007091029499770514,0.0008010794092297633,0.0007091029499770514,0.0,0.0
54,-1.3965,0.7185,0.0,0.0,0.0007907180043387244,0.001571712696169729,-0.0007907180043387244,0.001571712696169729,0.0,0.0
55,-1.3325,0.7846,0.0,0.0,-0.0020460888051401075,-0.002224420433602006,0.0020460888051401075,-0.002224420433602006,0.0,0.0
56,-1.347,0.7749,0.0,0.0,0.0024952450722935883,0.0014744491857409446,-0.0024952450722935883,0.0014744491857409446,0.0,0.0
57,-1.284,0.8451,0.0,0.0,-0.0007168208292800541,0.0017373736330200046,0.0007168208292800541,0.0017373736330200046,0.0,0.0
58,-1.269,0.8654,0.0,0.0,-0.0014685240421815527,-0.0005449916660576936,0.0014685240421815527,-0.0005449916660576936,0.0,0.0
59,-1.2043,0.9372,0.0,0.0,0.002756072930313171,0.0004980159125047724,-0.002756072930313171,0.0004980159125047724,0.0,0.0
60,-1.2076,0.9367,0.0,0.0,-0.002640669364987172,0.003030574196546735,0.002640669364987172,0.003030574196546735,0.0,0.0
61,-1.1329,1.0112,0.0,0.0,-0.0031710152915801126,-0.005712749951801236,0.0031710152915801126,-0.005712749951801236,0.0,0.0
62,-1.1331,1.0047,0.0,0.0,-7.786550197588345e-05,0.012804691012119349,7.786550197588345e-05,0.012804691012119349,0.0,0.0
63,-1.0554,1.0708,0.0,0.0,0.014163523935073188,-0.00034156173718524383,-0.014163523935073188,-0.00034156173718524383,0.0,0.0
64,-0.978,1.1347,0.0,0.0,0.009961229810643046,-0.0020472434485003994,-0.009961229810643046,-0.0020472434485003994,0.0,0.0
65,-0.9638,1.1384,0.0,0.0,0.00430681973388813,-0.002205064964641326,-0.00430681973388813,-0.002205064964641326,0.0,0.0
66,-0.8724,1.22,0.0,0.0,0.000591785107501095,0.017360974482533664,-0.000591785107501095,0.017360974482533664,0.0,0.0
67,-0.7851,1.3005,0.0,0.0,-0.007485431363364898,0.013012222963455992,0.007485431363364898,0.013012222963455992,0.0,0.0
68,-0.7711,1.308,0.0,0.0,0.004531367482113283,-0.007531009390744834,-0.004531367482113283,-0.007531009390744834,0.0,0.0
69,-0.6892,1.3841,0.0,0.0,0.0009029614930997145,-0.00048318786093049974,-0.0009029614930997145,-0.00048318786093049974,0.0,0.0
70,-0.6728,1.3936,0.0,0.0,-0.0002550971807103457,0.0023646792165258634,0.0002550971807103457,0.0023646792165258634,0.0,0.0
71,-0.6613,1.3982,0.0,0.0,0.000710591832204796,-0.0012961783279822198,-0.000710591832204796,-0.0012961783279822198,0.0,0.0
72,-0.6584,1.3984,0.0,0.0,-0.0021282507958303395,0.0008801724794097463,0.0021282507958303395,0.0008801724794097463,0.0,0.0
73,-0.6596,1.3952,0.0,0.0,-0.001460107299792058,0.010674981719412852,0.001460107299792058,0.010674981719412852,0.0,0.0
74,-0.6584,1.3939,0.0,0.0,0.006637680054098079,0.0014699825390577107,-0.006637680054098079,0.0014699825390577107,0.0,0.0
75,-0.7355,1.3159,0.0,0.0,-0.004026970645775319,-0.012656714349892488,0.004026970645775319,-0.012656714349892488,0.0,0.0
76,-0.7391,1.3138,0.0,0.0,0.004880495171843596,-0.00011820813327744453,-0.004880495171843596,-0.00011820813327744453,0.0,0.0
77,-0.7508,1.31,0.0,0.0,-5.0451837774430994e-05,0.0019930359812698616,5.0451837774430994e-05,0.0019930359812698616,0.0,0.0
78,-0.839,1.2338,0.0,0.0,-0.01874836963597893,-0.008639163163109023,0.01874836963597893,-0.008639163163109023,0.0,0.0
79,-0.8615,1.2274,0.0,0.0,0.01754419815260101,-0.0016425105653665637,-0.01754419815260101,-0.0016425105653665637,0.0,0.0
80,-0.8748,1.2286,0.0,0.0,-0.015745385338672847,-0.0003162507393135858,0.015745385338672847,-0.0003162507393135858,0.0,0.0
81,-0.9432,1.1643,0.0,0.0,-0.007168512146316407,0.0002483273243768458,0.007168512146316407,0.0002483273243768458,0.0,0.0
82,-0.9477,1.1505,0.0,0.0,-0.0029432770814383637,0.0002096042323148518,0.0029432770814383637,0.0002096042323148518,0.0,0.0
83,-1.0185,1.0658,0.0,0.0,0.0017684578476931212,-0.0032390784791341515,-0.0017684578476931212,-0.0032390784791341515,0.0,0.0
84,-1.0171,1.0542,0.0,0.0,-0.006028149901270396,0.009131709712328203,0.006028149901270396,0.009131709712328203,0.0,0.0
85,-1.0171,1.0458,0.0,0.0,-0.004369413558156576,0.015374684049316033,0.004369413558156576,0.015374684049316033,0.0,0.0
86,-1.1021,0.9574,0.0,0.0,0.016501980593179793,0.0007677162931876497,-0.016501980593179793,0.0007677162931876497,0.0,0.0
87,-1.1101,0.9496,0.0,0.0,-0.005965859930517817,-0.00492060383593794,0.005965859930517817,-0.00492060383593794,0.0,0.0
88,-1.1095,0.9483,0.0,0.0,0.009010472159497572,0.0002293790191274269,-0.009010472159497572,0.0002293790191274269,0.0,0.0
89,-1.1018,0.9422,0.0,0.0,0.0021817897853259717,0.00015234607578501694,-0.0021817897853259717,0.00015234607578501694,0.0,0.0
90,-1.1666,0.8669,0.0,0.0,-0.00040606983860364725,-0.0003418655907011101,0.00040606983860364725,-0.0003418655907011101,0.0,0.0
91,-1.1706,0.8615,0.0,0.0,-0.0006329572589009709,0.00021011166768634842,0.0006329572589009709,0.00021011166768634842,0.0,0.0
